x|y|labels
-20.992921829223633|6.187986373901367|Muskat
-22.11835289001465|8.877793312072754|Braten
24.701765060424805|-11.6362943649292|gelbe
-5.709467887878418|-2.9322867393493652|geröstete
-22.185359954833984|15.745123863220215|Kurkuma
0.747921884059906|-2.566143274307251|ganze
5.909900188446045|-2.4276349544525146|Gr
-22.40254783630371|13.051342964172363|Pfirsiche
20.6881103515625|-6.341574668884277|gemischte
-22.70775604248047|11.20096206665039|Cheddar
0.5406462550163269|-2.586498975753784|Kerbel
12.036465644836426|-2.571366310119629|frisches
10.840907096862793|-2.4907398223876953|Lachsfilet
25.939977645874023|-15.347277641296387|getrocknete
-13.735644340515137|-1.0518865585327148|Paprikaschoten
4.052494525909424|-2.2220511436462402|Paprikaschote
-20.9887752532959|20.95204734802246|Haselnusskerne
-22.156461715698242|11.640641212463379|gekochte
-17.259206771850586|28.24622917175293|Maronen
-12.263431549072266|-1.7847100496292114|Meerrettich
-7.403227806091309|-2.9566500186920166|mittelalter
25.489246368408203|-14.798446655273438|Datteln
-19.26285743713379|24.629486083984375|Banane
1.332762360572815|-2.764570474624634|säuerliche
3.4735217094421387|-2.6809659004211426|Cox
10.2745943069458|-2.518376350402832|kernlose
9.703726768493652|-2.298712730407715|Granny
-2.3083033561706543|-3.0921473503112793|Smith
-14.84422492980957|-0.4159375727176666|halbe
-21.865568161010742|8.748226165771484|helles
-3.398137331008911|-3.000406503677368|Grüne
-20.683122634887695|6.109238147735596|15%
-9.981070518493652|-2.865891933441162|Kapern
-1.6818690299987793|-2.896332263946533|Drillinge
-20.547887802124023|5.806588172912598|milde
-6.222323894500732|-3.0727474689483643|küchenfertige
14.408585548400879|-3.1352157592773438|kleines
-21.658554077148438|18.191225051879883|Instant
-22.406003952026367|9.561737060546875|kurze
-22.4400634765625|12.475774765014648|weiche
3.51839017868042|-1.9809807538986206|Puddingpulver
